product_id,listing_id,market,price,sku,grade_code
ff30aae1-5e19-4e9c-a0ca-e128dd3b0763,985756,fr-fr,350.00,,GOLD
ff30aae1-5e19-4e9c-a0ca-e128dd3b0763,985755,fr-fr,622.00,,DIAMOND
fdbdb0c3-a5a0-48d3-832a-569da0e6442c,985754,fr-fr,720.00,,DIAMOND
fdbdb0c3-a5a0-48d3-832a-569da0e6442c,985753,fr-fr,470.00,,GOLD
fdbdb0c3-a5a0-48d3-832a-569da0e6442c,985752,fr-fr,691.00,,PLATINUM
fe6f9c93-f79b-423f-956c-14eb095a1dd5,985751,fr-fr,1857.00,,PLATINUM
fe6f9c93-f79b-423f-956c-14eb095a1dd5,985750,fr-fr,140.00,,GOLD
fe6f9c93-f79b-423f-956c-14eb095a1dd5,985749,fr-fr,1906.00,,DIAMOND
fd6ff71e-d090-430d-bbba-89889f06df98,985748,fr-fr,1551.00,,PLATINUM
fd6ff71e-d090-430d-bbba-89889f06df98,985747,fr-fr,1607.00,,DIAMOND
fd6ff71e-d090-430d-bbba-89889f06df98,985746,fr-fr,140.00,,GOLD
fe4127cb-9e48-4d2e-9cfe-e3be8ffb50b1,985745,fr-fr,1013.00,,PLATINUM
fe4127cb-9e48-4d2e-9cfe-e3be8ffb50b1,985744,fr-fr,140.00,,GOLD
fe4127cb-9e48-4d2e-9cfe-e3be8ffb50b1,985743,fr-fr,1021.00,,DIAMOND
fd60dc5c-8805-4840-b842-15657f5b0fa7,985742,fr-fr,1076.00,,PLATINUM
fd60dc5c-8805-4840-b842-15657f5b0fa7,985741,fr-fr,707.00,,GOLD
fd60dc5c-8805-4840-b842-15657f5b0fa7,985740,fr-fr,1101.00,,DIAMOND
fe247fe5-bfa2-4202-a057-5bed4d2d0127,985739,fr-fr,981.00,,PLATINUM
fe247fe5-bfa2-4202-a057-5bed4d2d0127,985738,fr-fr,1124.00,,DIAMOND
fe247fe5-bfa2-4202-a057-5bed4d2d0127,985737,fr-fr,650.00,,GOLD
fcf55c05-14c6-4e17-ad0f-945db8db47b5,985736,fr-fr,432.00,,PLATINUM
fcf55c05-14c6-4e17-ad0f-945db8db47b5,985734,fr-fr,451.00,,DIAMOND
fcf3db68-398d-4409-9ce2-03604e7d1050,985733,fr-fr,486.00,,DIAMOND
fcf3db68-398d-4409-9ce2-03604e7d1050,985731,fr-fr,456.00,,PLATINUM
fc3df29d-9cca-465d-b3df-83195297f1dd,985730,fr-fr,597.00,,DIAMOND
fc3df29d-9cca-465d-b3df-83195297f1dd,985728,fr-fr,586.00,,PLATINUM
fde3e7ca-1ce7-43f8-97fd-f730747d4ffa,985727,fr-fr,465.00,,PLATINUM
fde3e7ca-1ce7-43f8-97fd-f730747d4ffa,985726,fr-fr,342.00,,DIAMOND
fde3e7ca-1ce7-43f8-97fd-f730747d4ffa,985725,fr-fr,310.00,,GOLD
fceb690a-5b58-4848-86e1-6da0115090a0,985724,fr-fr,1658.00,,PLATINUM
fceb690a-5b58-4848-86e1-6da0115090a0,985723,fr-fr,1706.00,,DIAMOND
fceb690a-5b58-4848-86e1-6da0115090a0,985722,fr-fr,140.00,,GOLD
fc3731f2-9b08-4271-83be-f74823583869,985721,fr-fr,697.00,,PLATINUM
fc3731f2-9b08-4271-83be-f74823583869,985720,fr-fr,500.00,,GOLD
fc3731f2-9b08-4271-83be-f74823583869,985719,fr-fr,747.00,,DIAMOND
fcc6b6f5-a86b-444b-994c-1c919c7e7715,985718,fr-fr,1027.00,,DIAMOND
fcc6b6f5-a86b-444b-994c-1c919c7e7715,985717,fr-fr,600.00,,GOLD
fcc6b6f5-a86b-444b-994c-1c919c7e7715,985716,fr-fr,965.00,,PLATINUM
fc2f0959-ebf5-4122-8201-3fcfdcc06485,985714,fr-fr,746.00,,DIAMOND
fc2f0959-ebf5-4122-8201-3fcfdcc06485,985713,fr-fr,667.00,,PLATINUM
ff7fd637-d700-4c8c-bb99-0a0814ba386e,985712,fr-fr,518.00,,PLATINUM
ff7fd637-d700-4c8c-bb99-0a0814ba386e,985710,fr-fr,566.00,,DIAMOND
fc0812ea-5f67-4177-a404-8cbdeb81dc35,985709,fr-fr,120.00,,GOLD
fc0812ea-5f67-4177-a404-8cbdeb81dc35,985708,fr-fr,500.00,,PLATINUM
fc0812ea-5f67-4177-a404-8cbdeb81dc35,985707,fr-fr,550.00,,DIAMOND
ff69770a-a2e8-418c-b286-b7e8ab17962a,985706,fr-fr,400.00,,DIAMOND
ff69770a-a2e8-418c-b286-b7e8ab17962a,985705,fr-fr,385.00,,PLATINUM
