"product_id";"product_uuid";"listing_id";"market";"price";"sku";"grade_code";"grade";"category";"brand";"model";"storage";"buybox_price";"is_buybox";"status"
"20445";"fcf3db68-398d-4409-9ce2-03604e7d1050";"985731";"fr-fr";"100.00";"None";"PLATINUM";"Functional - Good";"MacBook";"Apple";"MacBook Pro";"2048";"456.00";"False";"Online"
"20444";"fc3df29d-9cca-465d-b3df-83195297f1dd";"985730";"fr-fr";"100.00";"None";"DIAMOND";"Functional - Flawless";"MacBook";"Apple";"MacBook Pro";"2048";"597.00";"False";"Online"
"20444";"fc3df29d-9cca-465d-b3df-83195297f1dd";"985729";"fr-fr";"100.00";"None";"GOLD";"Functional - Used";"MacBook";"Apple";"MacBook Pro";"2048";"100.00";"True";"Online"
"20444";"fc3df29d-9cca-465d-b3df-83195297f1dd";"985728";"fr-fr";"100.00";"None";"PLATINUM";"Functional - Good";"MacBook";"Apple";"MacBook Pro";"2048";"586.00";"False";"Online"
"20443";"fde3e7ca-1ce7-43f8-97fd-f730747d4ffa";"985727";"fr-fr";"100.00";"None";"PLATINUM";"Functional - Good";"MacBook";"Apple";"MacBook Pro";"512";"465.00";"False";"Online"
"20443";"fde3e7ca-1ce7-43f8-97fd-f730747d4ffa";"985726";"fr-fr";"100.00";"None";"DIAMOND";"Functional - Flawless";"MacBook";"Apple";"MacBook Pro";"512";"342.00";"False";"Online"
"20443";"fde3e7ca-1ce7-43f8-97fd-f730747d4ffa";"985725";"fr-fr";"100.00";"None";"GOLD";"Functional - Used";"MacBook";"Apple";"MacBook Pro";"512";"310.00";"False";"Online"
"20441";"fceb690a-5b58-4848-86e1-6da0115090a0";"985724";"fr-fr";"100.00";"None";"PLATINUM";"Functional - Good";"MacBook";"Apple";"MacBook Pro";"2000";"1658.00";"False";"Online"
"20441";"fceb690a-5b58-4848-86e1-6da0115090a0";"985723";"fr-fr";"100.00";"None";"DIAMOND";"Functional - Flawless";"MacBook";"Apple";"MacBook Pro";"2000";"1706.00";"False";"Online"
"20441";"fceb690a-5b58-4848-86e1-6da0115090a0";"985722";"fr-fr";"100.00";"None";"GOLD";"Functional - Used";"MacBook";"Apple";"MacBook Pro";"2000";"140.00";"False";"Online"
"20440";"fc3731f2-9b08-4271-83be-f74823583869";"985721";"fr-fr";"100.00";"None";"PLATINUM";"Functional - Good";"MacBook";"Apple";"MacBook Pro";"1024";"697.00";"False";"Online"
"20440";"fc3731f2-9b08-4271-83be-f74823583869";"985720";"fr-fr";"100.00";"None";"GOLD";"Functional - Used";"MacBook";"Apple";"MacBook Pro";"1024";"500.00";"False";"Online"
"20440";"fc3731f2-9b08-4271-83be-f74823583869";"985719";"fr-fr";"100.00";"None";"DIAMOND";"Functional - Flawless";"MacBook";"Apple";"MacBook Pro";"1024";"747.00";"False";"Online"
"20438";"fcc6b6f5-a86b-444b-994c-1c919c7e7715";"985718";"fr-fr";"100.00";"None";"DIAMOND";"Functional - Flawless";"MacBook";"Apple";"MacBook Pro";"2000";"1027.00";"False";"Online"
